_MCATE_CD_NM,SEXDSTN_CD,BIRTH_YEAR,MRRG_AT_CD,CHLDRN_AT_CD,FAMILY_TY_NM,OC_AREA_CD,ANSWRR_OC_AREA_NM,OCCP_CL_NM,MT_AVRG_HSHLD_INCOME_DGREE_NM,COM_AT,TOUR_PD,LDGS_NM,LDGS_ADDR,LDGS_ROAD_NM_ADDR,GSRM_SCALE_CN,LDGS_GRAD_VALUE,LDGMNT_TY_NM,LDGS_AVRG_PRC,LDGS_MIN_PRC,LDGS_MXMM_PRC,LDGS_AVRG_SCORE_CO,COM_TY,여행유형,나이,나이대
15636,F,2001,미혼,X,4,서울,마포구,대학(원)생,600만원,Y,2021,쏠비치 호텔 삼척,강원,강원 삼척시 수로부인길 453,200개 이상,4성,관광호텔업,353255,204250,538000,9,"형제/자매, 부모님",효도여행,21,20대
15637,M,1977,기혼,중/고등학생,3,서울,양천구,사무직,600만원,Y,2020,쏠비치 호텔 삼척,강원,강원 삼척시 수로부인길 453,200개 이상,4성,관광호텔업,353255,204250,538000,9,"자녀, 부모님, 형제/자매, 배우자",효도여행,44,40대
15647,F,2000,미혼,X,3,인천,부평구,대학(원)생,600만원,Y,2022,소노 펠리체 델피노,강원,강원 고성군 토성면 미시령옛길 1153,100개 이하,4성,관광호텔,518369,360000,705000,9,부모님,효도여행,23,20대
15649,M,1972,기혼,"영/유아, 초등학생",3,경기,고양시,기술직,600만원,Y,2020,소노 펠리체 델피노,강원,강원 고성군 토성면 미시령옛길 1153,100개 이하,4성,관광호텔,518369,360000,705000,9,"부모님, 자녀",효도여행,49,40대
15650,M,1979,기혼,"영/유아, 초등학생",4,강원,춘천시,사무직,600만원,Y,2021,소노 펠리체 델피노,강원,강원 고성군 토성면 미시령옛길 1153,100개 이하,4성,관광호텔,518369,360000,705000,9,"부모님, 자녀, 배우자",효도여행,43,40대
15651,F,1985,기혼,"영/유아, 초등학생",4,경기,화성시,사무직,600만원,Y,2021,소노 펠리체 델피노,강원,강원 고성군 토성면 미시령옛길 1153,100개 이하,4성,관광호텔,518369,360000,705000,9,"부모님, 자녀",효도여행,37,30대
15652,M,1970,미혼,X,3,서울,송파구,자영업,600만원,Y,2019,소노 펠리체 델피노,강원,강원 고성군 토성면 미시령옛길 1153,100개 이하,4성,관광호텔,518369,360000,705000,9,"부모님, 형제/자매",효도여행,50,50대
15653,M,1978,기혼,중/고등학생,4,서울,서초구,사무직,600만원,Y,2020,소노 펠리체 델피노,강원,강원 고성군 토성면 미시령옛길 1153,100개 이하,4성,관광호텔,518369,360000,705000,9,"자녀, 부모님, 배우자",효도여행,43,40대
15667,F,1987,미혼,X,4,경남,김해시,판매/서비스직,600만원,Y,2020,메이힐스리조트,강원,강원도 정선군 고한읍 물한리길 8,200개 이상,성급없음,휴양콘도미니엄업,135547,73500,295000,9,"형제/자매, 부모님",효도여행,34,30대
15681,M,1983,미혼,X,3,서울,강남구,자영업,600만원,Y,2021,롯데리조트 속초,강원,강원 속초시 대포항길 186,200개 이상,4성,관광호텔업,449119,283500,685000,9,부모님,효도여행,39,30대
15684,F,1979,미혼,X,2,경기,성남시,사무직,600만원,Y,2019,라마다 속초 호텔,강원,강원 속초시 대포항희망길 106,200개 이상,4성,미분류,188767,100760,688419,9,"형제/자매, 부모님",효도여행,41,40대
15706,F,1968,기혼,결혼하지 않은 성인,2,경북,경주시,전업주부,600만원,Y,2023,동강시스타리조트,강원,강원도 영월군 영월읍 사지막길 160,200개 이상,성급없음,휴양콘도미니엄업,224114,89300,424000,9,"형제/자매, 배우자, 부모님",효도여행,56,50대
15726,M,1963,기혼,결혼한 성인,6,부산,동래구,사무직,700만원,Y,2021,소노문 단양,충북,충북 단양군 단양읍 삼봉로 187-17,200개 이상,4성,미분류,223318,98113,416000,8,"배우자, 형제/자매, 부모님",효도여행,59,50대
15727,M,1965,기혼,결혼하지 않은 성인,3,경기,안산시,사무직,700만원,Y,2022,소노문 단양,충북,충북 단양군 단양읍 삼봉로 187-17,200개 이상,4성,미분류,223318,98113,416000,8,"형제/자매, 부모님, 배우자",효도여행,58,50대
15728,F,1971,기혼,자녀가 없음,2,대전,중구,판매/서비스직,700만원,Y,2022,소노문 단양,충북,충북 단양군 단양읍 삼봉로 187-17,200개 이상,4성,미분류,223318,98113,416000,8,"부모님, 배우자, 형제/자매",효도여행,52,50대
15729,M,1965,기혼,대학/대학원생 자녀,4,경남,김해시,사무직,700만원,Y,2022,소노문 단양,충북,충북 단양군 단양읍 삼봉로 187-17,200개 이상,4성,미분류,223318,98113,416000,8,"배우자, 부모님, 형제/자매",효도여행,58,50대
15734,F,1978,기혼,"영/유아, 초등학생",6,대전,서구,사무직,700만원,Y,2020,소노문 단양,충북,충북 단양군 단양읍 삼봉로 187-17,200개 이상,4성,미분류,223318,98113,416000,8,"부모님, 자녀, 배우자",효도여행,43,40대
15736,F,1965,미혼,X,4,경기,의정부시,사무직,700만원,Y,2019,소노문 단양,충북,충북 단양군 단양읍 삼봉로 187-17,200개 이상,4성,미분류,223318,98113,416000,8,"형제/자매, 부모님",효도여행,55,50대
15737,M,1966,미혼,X,2,경기,광명시,경영/관리직,700만원,Y,2019,소노문 단양,충북,충북 단양군 단양읍 삼봉로 187-17,200개 이상,4성,미분류,223318,98113,416000,8,부모님,효도여행,54,50대
15740,F,1968,기혼,결혼하지 않은 성인,4,경기,고양시,사무직,700만원,Y,2020,소노문 단양,충북,충북 단양군 단양읍 삼봉로 187-17,200개 이상,4성,미분류,223318,98113,416000,8,부모님,효도여행,53,50대
15741,M,1981,기혼,자녀가 없음,2,인천,계양구,판매/서비스직,700만원,Y,2020,소노문 단양,충북,충북 단양군 단양읍 삼봉로 187-17,200개 이상,4성,미분류,223318,98113,416000,8,"부모님, 배우자, 기타",효도여행,40,40대
15745,M,1968,기혼,중/고등학생,3,경기,용인시,경영/관리직,700만원,Y,2020,소노문 단양,충북,충북 단양군 단양읍 삼봉로 187-17,200개 이상,4성,미분류,223318,98113,416000,8,"부모님, 형제/자매",효도여행,53,50대
15747,M,1968,기혼,중/고등학생,3,경기,용인시,경영/관리직,700만원,Y,2021,소노문 단양,충북,충북 단양군 단양읍 삼봉로 187-17,200개 이상,4성,미분류,223318,98113,416000,8,"부모님, 형제/자매",효도여행,54,50대
15750,M,1993,미혼,X,1,서울,관악구,판매/서비스직,700만원,Y,2022,소노문 단양,충북,충북 단양군 단양읍 삼봉로 187-17,200개 이상,4성,미분류,223318,98113,416000,8,부모님,효도여행,30,30대
15754,F,1980,기혼,"영/유아, 초등학생",5,광주,남구,기술직,700만원,Y,2022,소노문 단양,충북,충북 단양군 단양읍 삼봉로 187-17,200개 이상,4성,미분류,223318,98113,416000,8,"부모님, 자녀, 배우자",효도여행,43,40대
15759,F,1993,미혼,X,2,서울,성동구,사무직,700만원,Y,2022,포레스트 리솜,충북,충북 제천시 백운면 금봉로 365,100개 이하,성급없음,휴양콘도미니엄업,517248,431940,695230,9,"형제/자매, 부모님",효도여행,30,30대
15762,F,1960,기혼,대학/대학원생 자녀,3,경기,남양주시,기술직,700만원,Y,2021,포레스트 리솜,충북,충북 제천시 백운면 금봉로 365,100개 이하,성급없음,휴양콘도미니엄업,517248,431940,695230,9,"형제/자매, 자녀, 부모님",효도여행,62,60대
15786,F,1985,기혼,"영/유아, 초등학생",4,경기,용인시,사무직,700만원,Y,2023,소노벨 천안,충남,충남 천안시 동남구 성남면 종합휴양지로 200,200개 이상,3성,숙박업(생활),274518,169000,458000,9,"자녀, 부모님, 배우자",효도여행,39,30대
15787,M,1982,기혼,"영/유아, 초등학생",3,서울,서초구,사무직,700만원,Y,2020,비체팰리스,충남,충남 보령시 웅천읍 열린바다1길 78,200개 이상,성급없음,휴양콘도미니엄업,217619,144250,294000,9,부모님,효도여행,39,30대
15793,M,1978,기혼,"영/유아, 초등학생",3,대전,서구,사무직,700만원,Y,2020,리솜아일랜드,충남,충남 태안군 안면읍 꽃지해안로 204?,100개 이하,성급없음,휴양콘도미니엄업,393926,248370,518100,7,"자녀, 부모님, 배우자",효도여행,43,40대
15794,M,1981,기혼,"영/유아, 초등학생",4,대전,유성구,사무직,700만원,Y,2021,리솜아일랜드,충남,충남 태안군 안면읍 꽃지해안로 204?,100개 이하,성급없음,휴양콘도미니엄업,393926,248370,518100,7,"부모님, 배우자, 자녀",효도여행,41,40대
15798,M,1975,기혼,"영/유아, 초등학생",3,경기,남양주시,기술직,700만원,Y,2020,리솜아일랜드,충남,충남 태안군 안면읍 꽃지해안로 204?,100개 이하,성급없음,휴양콘도미니엄업,393926,248370,518100,7,"자녀, 부모님, 배우자",효도여행,46,40대
15801,M,1977,기혼,자녀가 없음,3,서울,강북구,기술직,700만원,Y,2020,롯데리조트 부여,충남,충남 부여군 규암면 백제문로 400,200개 이상,성급없음,휴양콘도미니엄업,294477,174310,447000,9,"부모님, 형제/자매",효도여행,44,40대
15802,M,1981,기혼,"영/유아, 초등학생",4,경북,포항시,기술직,700만원,Y,2021,롯데리조트 부여,충남,충남 부여군 규암면 백제문로 400,200개 이상,성급없음,휴양콘도미니엄업,294477,174310,447000,9,"자녀, 부모님, 배우자",효도여행,41,40대
15806,M,1964,기혼,대학/대학원생 자녀,4,서울,양천구,자영업,700만원,Y,2022,롯데리조트 부여,충남,충남 부여군 규암면 백제문로 400,200개 이상,성급없음,휴양콘도미니엄업,294477,174310,447000,9,"배우자, 자녀, 부모님",효도여행,59,50대
15809,F,1992,기혼,"영/유아, 초등학생",4,대전,서구,사무직,700만원,Y,2023,롯데리조트 부여,충남,충남 부여군 규암면 백제문로 400,200개 이상,성급없음,휴양콘도미니엄업,294477,174310,447000,9,"배우자, 부모님, 자녀",효도여행,32,30대
15815,M,1977,기혼,"영/유아, 초등학생",3,인천,서구,사무직,700만원,Y,2023,롯데리조트 부여,충남,충남 부여군 규암면 백제문로 400,200개 이상,성급없음,휴양콘도미니엄업,294477,174310,447000,9,"배우자, 자녀, 부모님",효도여행,47,40대
