_MCATE_CD_NM,SEXDSTN_CD,BIRTH_YEAR,MRRG_AT_CD,CHLDRN_AT_CD,FAMILY_TY_NM,OC_AREA_CD,ANSWRR_OC_AREA_NM,OCCP_CL_NM,MT_AVRG_HSHLD_INCOME_DGREE_NM,COM_AT,TOUR_PD,LDGS_NM,LDGS_ADDR,LDGS_ROAD_NM_ADDR,GSRM_SCALE_CN,LDGS_GRAD_VALUE,LDGMNT_TY_NM,LDGS_AVRG_PRC,LDGS_MIN_PRC,LDGS_MXMM_PRC,LDGS_AVRG_SCORE_CO,COM_TY,AGE,AGE_RANGE,여행유형
13438,M,1972,기혼,"영/유아, 초등학생",4,서울,강남구,자영업,500만원,Y,2020,롯데 호텔 서울,서울,서울 중구 을지로 30,200개 이상,5성,관광호텔업,582563,294030,992200,8,"배우자, 자녀",49,40대,가족여행
19206,M,1974,기혼,중/고등학생,4,인천,미추홀구,경영/관리직,1000만원 초과,Y,2020,스카이베이경포,강원,강원 강릉시 해안로 476,200개 이상,4성,미분류,384677,99000,946000,9,"자녀, 배우자",47,40대,가족여행
19207,F,1955,기혼,결혼한 성인,3,서울,강남구,전업주부,1000만원 초과,Y,2022,스카이베이경포,강원,강원 강릉시 해안로 476,200개 이상,4성,미분류,384677,99000,946000,9,"배우자, 자녀",68,60대,가족여행
13439,M,1972,기혼,"영/유아, 초등학생",4,서울,강남구,자영업,500만원,Y,2019,롯데 호텔 서울,서울,서울 중구 을지로 30,200개 이상,5성,관광호텔업,582563,294030,992200,8,"자녀, 배우자",48,40대,가족여행
19211,F,1968,기혼,중/고등학생,4,경북,영천시,기술직,1000만원 초과,Y,2021,스카이베이경포,강원,강원 강릉시 해안로 476,200개 이상,4성,미분류,384677,99000,946000,9,"배우자, 자녀",54,50대,가족여행
19213,M,1967,기혼,중/고등학생,4,서울,성북구,전문직,1000만원 초과,Y,2019,스카이베이경포,강원,강원 강릉시 해안로 476,200개 이상,4성,미분류,384677,99000,946000,9,"배우자, 자녀",53,50대,가족여행
19215,M,1969,기혼,결혼하지 않은 성인,4,서울,마포구,경영/관리직,1000만원 초과,Y,2021,소노벨 비발디파크 b c 구 오크 파인,강원,강원 홍천군 서면 한치골길 264,200개 이상,4성,미분류,273206,113050,727000,9,"배우자, 자녀",53,50대,가족여행
19217,M,1973,기혼,중/고등학생,4,인천,연수구,기술직,1000만원 초과,Y,2019,소노벨 비발디파크 b c 구 오크 파인,강원,강원 홍천군 서면 한치골길 264,200개 이상,4성,미분류,273206,113050,727000,9,"자녀, 배우자",47,40대,가족여행
13443,M,1977,기혼,"영/유아, 초등학생",4,광주,동구,판매/서비스직,500만원,Y,2021,롯데 호텔 서울,서울,서울 중구 을지로 30,200개 이상,5성,관광호텔업,582563,294030,992200,8,"배우자, 자녀",45,40대,가족여행
19220,M,1970,기혼,중/고등학생,4,서울,은평구,경영/관리직,1000만원 초과,Y,2020,소노벨 비발디파크 b c 구 오크 파인,강원,강원 홍천군 서면 한치골길 264,200개 이상,4성,미분류,273206,113050,727000,9,"배우자, 자녀",51,50대,가족여행
19224,M,1975,기혼,중/고등학생,4,강원,원주시,경영/관리직,1000만원 초과,Y,2021,소노벨 비발디파크 b c 구 오크 파인,강원,강원 홍천군 서면 한치골길 264,200개 이상,4성,미분류,273206,113050,727000,9,"자녀, 배우자",47,40대,가족여행
19225,M,1955,기혼,결혼하지 않은 성인,2,대전,서구,자영업,1000만원 초과,Y,2022,소노벨 비발디파크 b c 구 오크 파인,강원,강원 홍천군 서면 한치골길 264,200개 이상,4성,미분류,273206,113050,727000,9,"배우자, 자녀",68,60대,가족여행
19226,F,1973,기혼,중/고등학생,4,서울,양천구,전업주부,1000만원 초과,Y,2019,소노벨 비발디파크 b c 구 오크 파인,강원,강원 홍천군 서면 한치골길 264,200개 이상,4성,미분류,273206,113050,727000,9,"배우자, 자녀",47,40대,가족여행
13444,F,1980,기혼,"영/유아, 초등학생",4,전북,전주시,전업주부,500만원,Y,2020,롯데 호텔 서울,서울,서울 중구 을지로 30,200개 이상,5성,관광호텔업,582563,294030,992200,8,"자녀, 배우자",41,40대,가족여행
13445,M,1981,기혼,"영/유아, 초등학생",4,대전,서구,사무직,500만원,Y,2022,롯데 호텔 서울,서울,서울 중구 을지로 30,200개 이상,5성,관광호텔업,582563,294030,992200,8,"배우자, 자녀",42,40대,가족여행
19230,M,1977,기혼,중/고등학생,4,경기,부천시,경영/관리직,1000만원 초과,Y,2022,소노벨 비발디파크 b c 구 오크 파인,강원,강원 홍천군 서면 한치골길 264,200개 이상,4성,미분류,273206,113050,727000,9,"자녀, 배우자",46,40대,가족여행
13447,M,1976,기혼,"영/유아, 초등학생",3,광주,남구,사무직,500만원,Y,2022,롯데 호텔 서울,서울,서울 중구 을지로 30,200개 이상,5성,관광호텔업,582563,294030,992200,8,"배우자, 자녀",47,40대,가족여행
19232,F,1974,기혼,중/고등학생,4,서울,양천구,기술직,1000만원 초과,Y,2020,소노벨 비발디파크 b c 구 오크 파인,강원,강원 홍천군 서면 한치골길 264,200개 이상,4성,미분류,273206,113050,727000,9,"배우자, 자녀",47,40대,가족여행
13448,M,1972,기혼,"영/유아, 초등학생",3,서울,송파구,경영/관리직,500만원,Y,2021,롯데 호텔 서울,서울,서울 중구 을지로 30,200개 이상,5성,관광호텔업,582563,294030,992200,8,자녀,50,50대,가족여행
19237,M,1977,기혼,중/고등학생,3,서울,강동구,사무직,1000만원 초과,Y,2021,소노벨 비발디파크 b c 구 오크 파인,강원,강원 홍천군 서면 한치골길 264,200개 이상,4성,미분류,273206,113050,727000,9,"배우자, 자녀",45,40대,가족여행
19240,M,1965,기혼,대학/대학원생 자녀,5,서울,동작구,사무직,1000만원 초과,Y,2020,쏠비치 호텔 양양,강원,강원 양양군 손양면 선사유적로 678,200개 이상,4성,관광호텔업,320223,87545,545000,9,"배우자, 자녀",56,50대,가족여행
19242,F,1972,기혼,대학/대학원생 자녀,4,서울,동작구,사무직,1000만원 초과,Y,2021,쏠비치 호텔 양양,강원,강원 양양군 손양면 선사유적로 678,200개 이상,4성,관광호텔업,320223,87545,545000,9,"자녀, 배우자",50,50대,가족여행
19243,M,1971,기혼,중/고등학생,3,서울,성동구,사무직,1000만원 초과,Y,2020,쏠비치 호텔 양양,강원,강원 양양군 손양면 선사유적로 678,200개 이상,4성,관광호텔업,320223,87545,545000,9,"배우자, 자녀",50,50대,가족여행
13454,M,1976,기혼,"영/유아, 초등학생",3,광주,남구,전문직,500만원,Y,2022,롯데 호텔 서울,서울,서울 중구 을지로 30,200개 이상,5성,관광호텔업,582563,294030,992200,8,"자녀, 배우자",47,40대,가족여행
13455,F,1982,기혼,"영/유아, 초등학생",4,경기,고양시,기술직,500만원,Y,2023,롯데 호텔 서울,서울,서울 중구 을지로 30,200개 이상,5성,관광호텔업,582563,294030,992200,8,자녀,42,40대,가족여행
15009,M,1975,기혼,"영/유아, 초등학생",5,서울,서초구,사무직,600만원,Y,2020,롯데 호텔 서울,서울,서울 중구 을지로 30,200개 이상,5성,관광호텔업,582563,294030,992200,8,"배우자, 자녀",46,40대,가족여행
19256,F,1970,기혼,중/고등학생,4,서울,양천구,자유직,1000만원 초과,Y,2022,쏠비치 호텔 양양,강원,강원 양양군 손양면 선사유적로 678,200개 이상,4성,관광호텔업,320223,87545,545000,9,"배우자, 자녀",53,50대,가족여행
19257,M,1963,기혼,결혼하지 않은 성인,4,서울,강남구,사무직,1000만원 초과,Y,2021,쏠비치 호텔 삼척,강원,강원 삼척시 수로부인길 453,200개 이상,4성,관광호텔업,353255,204250,538000,9,"자녀, 배우자",59,50대,가족여행
19262,M,1966,기혼,결혼하지 않은 성인,3,경기,의왕시,기술직,1000만원 초과,Y,2021,쏠비치 호텔 삼척,강원,강원 삼척시 수로부인길 453,200개 이상,4성,관광호텔업,353255,204250,538000,9,"배우자, 자녀",56,50대,가족여행
19264,M,1960,기혼,결혼하지 않은 성인,4,경기,수원시,기능/숙련공,1000만원 초과,Y,2022,쏠비치 호텔 삼척,강원,강원 삼척시 수로부인길 453,200개 이상,4성,관광호텔업,353255,204250,538000,9,"자녀, 배우자",63,60대,가족여행
15012,M,1987,기혼,"영/유아, 초등학생",4,광주,북구,기술직,600만원,Y,2023,롯데 호텔 서울,서울,서울 중구 을지로 30,200개 이상,5성,관광호텔업,582563,294030,992200,8,"자녀, 배우자",37,30대,가족여행
15013,F,1981,기혼,"영/유아, 초등학생",3,서울,양천구,대학(원)생,600만원,Y,2020,롯데 호텔 서울,서울,서울 중구 을지로 30,200개 이상,5성,관광호텔업,582563,294030,992200,8,"자녀, 배우자",40,40대,가족여행
