mcate_cd_nm,sexdstn_cd,birth_year,mrrg_at_cd,chldrn_at_cd,family_ty_nm,oc_area_cd,answrr_oc_area_nm,occp_cl_nm,mt_avrg_hshld_income_dgree_nm,com_at,tour_pd,ldgs_nm,ldgs_addr,ldgs_road_nm_addr,gsrm_scale_cn,ldgs_grad_value,ldgmnt_ty_nm,ldgs_avrg_prc,ldgs_min_prc,ldgs_mxmm_prc,ldgs_avrg_score_co,age_range,age,travel_type,pet
10003,F,1959,기타,결혼하지 않은 성인,1,경기,부천시,기타,100만원 미만,Y,2023,포레스트 리솜,충북,충북 제천시 백운면 금봉로 365,100개 이하,성급없음,휴양콘도미니엄업,517248,431940,695230,9,60대 이상,65,가족여행,"0"
10010,F,1960,기혼,결혼한 성인,2,경기,용인시,전업주부,100만원 미만,Y,2021,제주 신화월드 랜딩관,제주,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38,200개 이상,5성,관광호텔,200480,119213,448800,10,60대 이상,62,가족여행,"0"
10011,M,1955,기혼,결혼한 성인,2,경기,용인시,전업주부,100만원 미만,Y,2022,제주 신화월드 랜딩관,제주,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38,200개 이상,5성,관광호텔,200480,119213,448800,10,60대 이상,68,가족여행,"0"
11216,M,1973,기혼,"영/유아, 초등학생",4,경기,수원시,기타,300만원,Y,2020,현대수 리조트 속초,강원,강원도 속초시 이목로 153,200개 이상,성급없음,휴양콘도미니엄업,96406,53000,260000,9,40대,48,가족여행,"0"
13984,M,1982,기혼,"영/유아, 초등학생",4,서울,강북구,사무직,500만원,Y,2021,현대수 리조트 속초,강원,강원도 속초시 이목로 153,200개 이상,성급없음,휴양콘도미니엄업,96406,53000,260000,9,40대,40,가족여행,"0"
16589,M,1978,기혼,"영/유아, 초등학생",4,경기,화성시,자영업,700만원,Y,2020,현대수 리조트 속초,강원,강원도 속초시 이목로 153,200개 이상,성급없음,휴양콘도미니엄업,96406,53000,260000,9,40대,43,가족여행,"0"
11184,M,1975,기혼,"영/유아, 초등학생",4,서울,송파구,판매/서비스직,300만원,Y,2020,호텔 미란다,경기,경기 이천시 중리천로115번길 45,200개 이하,4성,관광호텔,98563,48399,251445,9,40대,46,가족여행,"0"
10040,M,1968,기혼,중/고등학생,4,경기,용인시,무직,100만원 미만,Y,2019,아난티 힐튼 부산,부산,부산 기장군 기장읍 기장해안로 268-32,200개 이상,5성,관광호텔업,587643,383350,990000,9,50대,52,가족여행,"0"
10051,F,1966,기혼,결혼하지 않은 성인,2,부산,동구,무직,100만원 미만,Y,2021,라한호텔 포항,경북,경북 포항시 북구 삼호로265번길 1,200개 이하,3성,관광호텔업,226345,115200,480000,7,50대,56,가족여행,"0"
11186,M,1982,기혼,"영/유아, 초등학생",4,경남,창원시,기술직,300만원,Y,2020,호텔 미란다,경기,경기 이천시 중리천로115번길 45,200개 이하,4성,관광호텔,98563,48399,251445,9,30대,39,가족여행,"0"
